Name,Gold_Medals,Silver_Medals,Bronze_Medals
Yang Wei,4,3,0
Lasse Artturi Virn,4,0,0
Katrin Wagner-Augustin,4,1,1
Wang Meng,4,1,1
Wang Nan,4,1,0
Thomas Lars Wassberg,4,0,0
Anastasiya Nikolayevna Yermakova,4,0,0
Giorgio Zampori,4,0,1
Emil Ztopek,4,1,0
Zhang Yining,4,0,0
"Leontine Martha Henrica Petronella ""Leontien"" Zijlaard-van Moorsel",4,1,1
Nikolay Semyonovich Zimyatov,4,1,0
Ivan Patzaichin,4,3,0
Carlo Pavesi,4,0,0
Roland Matthes,4,2,2
"Patricia Joan ""Pat"" McCormick (Keller-)",4,0,0
"Georg ""Georges"" Miez",4,3,1
John Phillips Naber,4,1,0
Aleksey Yuryevich Nemov,4,2,6
Yelena Dmitriyevna Novikova-Belova,4,1,1
Matthew Clive Pinsent,4,0,0
Stanislav Alekseyevich Pozdnyakov,4,0,1
Meyer Prinstein,4,1,0
Oreste Puliti,4,1,0
Valentin Ivanovich Muratov,4,1,0
Matti Ensio Nyknen (-Paanala),4,1,0
"Alfred Adolph ""Al"" Oerter, Jr.",4,0,0
Jon C. Olsen,4,0,1
Otto Martin Olsen,4,3,1
Caroline Ouellette,4,0,0
"James Cleveland ""Jesse"" Owens",4,0,0
Charles Ferdinand Pahud de Mortanges,4,1,0
Tamika Devonne Catchings,4,0,0
Simon Ammann,4,0,0
Vladimir Nikolayevich Artyomov,4,1,0
Evelyn Ashford (-Washington),4,1,0
"Michael Jay ""Mike"" Burton",4,0,0
Simone Arianne Biles,4,0,1
"Suzanne Brigit ""Sue"" Bird",4,0,0
"Francina Elsje ""Fanny"" Blankers-Koen",4,0,0
Kathrin Boron (-Kppen),4,0,1
Ivar Eugen Ballangrud (Eriksen-),4,2,1
Ludger Beerbaum,4,0,1
Kjetil Andr Aamodt,4,2,2
"Charles Benedict ""Ben"" Ainslie",4,1,0
Iain Murray Rose,4,1,1
Henri Julius Reverony Saint Cyr,4,0,0
"Paolo Francesco ""Paul""  Radmilovic",4,0,0
Sanya Richards-Ross,4,0,1
Vladimir Valeryevich Salnikov,4,0,0
Allison Rodgers Schmitt,4,2,2
Carl Schuhmann,4,0,0
"Melvin Winfield ""Mel"" Sheppard",4,1,0
Viktor Aleksandrovich Sidyak,4,1,1
Diana Lurena Taurasi,4,0,0
Henry Taylor,4,1,3
Aleksandr Ivanovich Tikhonov,4,1,0
"Dara Grace Torres (-Hoffman, -Minas)",4,4,4
Giovanna Trillini,4,1,3
Laura Rebecca Trott (-Kenny),4,0,0
Viorica Susanu,4,0,1
Gunde Anders Svan,4,1,1
Emil Hegle Svendsen,4,1,0
Ecaterina (Katalin-) Szabo (-Tamas),4,1,0
Raisa Petrovna Smetanina,4,5,1
Lloyd Spencer Spooner,4,1,2
Konrad Stheli,4,1,1
Charles Sydney Smith,3,0,0
"Katherine May ""Katie"" Smith",3,0,0
Michelle Marie Smith (-De Bruin),3,0,1
Peter George Snell,3,0,0
Rebecca Soni,3,3,0
Colleen Sostorics,3,0,0
Kim St-Pierre,3,0,0
Dawn Michelle Staley,3,0,0
Renate Stecher (Meiner-),3,2,1
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",3,0,0
Tefilo Stevenson Laurence,3,0,0
Viktor Saneyev,3,1,0
Flix Savn Fabr,3,0,0
Buvaysar Khamidovich Saytiyev,3,0,0
"Adrie ""Ard"" Schenk",3,1,0
"Verena ""Vreni"" Schneider",3,1,1
Ollie Martin Schriver,3,0,0
Jochen Schmann,3,1,0
Ralf Schumann,3,2,0
Karl Alfred Markus Schwarzmann,3,1,2
"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)",3,0,0
Ralph Waldo Rose,3,2,1
Norman DeMille Ross,3,0,0
Antonio Rossi,3,1,1
"Jeffrey Norman ""Jeff"" Rouse",3,1,0
Florian Georges Philippe Rousseau,3,1,0
"Wilma Glodean Rudolph (-Ward, -Eldridge)",3,0,1
"Matthew Morgan ""Matt"" Ryan",3,0,0
Martina Sblkov,3,1,1
Yevgeny Viktorovich Sadovy,3,0,0
"Anton Engelbert ""Toni"" Sailer",3,0,0
Aleksandr Pavlovich Ragulin,3,0,0
"Alexandra Rose ""Aly"" Raisman",3,2,1
Lszl Rajcsnyi,3,0,0
"Peter ""Pete"" Reed",3,0,0
"Rica Reinisch (-Assmann, -Neumann)",3,0,0
Anfisa Anatolyevna Reztsova (Romanova-),3,1,1
"Kimberly Susan ""Kim"" Rhode (-Harryman)",3,1,2
Franco Riccardi,3,1,0
"Stephanie Louise ""Steph"" Rice",3,0,0
Ulrike Richter (-Schmidt),3,0,0
Botond Storcz,3,0,0
Sharon Marie Stouder (-Clark),3,1,0
Shirley Barbara Strickland de la Hunty,3,1,3
Leon tukelj,3,1,2
Naim Sleymanolu,3,0,0
Sun Yang,3,2,1
"Alfred Gomer Albert ""Alf"" Swahn",3,3,3
Oscar Gomer Swahn,3,1,2
Sheryl Denice Swoopes,3,0,0
Gabriella Timea Szab,3,1,0
Zoltn Szcsi,3,0,0
Irena Szewiska-Kirszenstein,3,2,2
Ashley Tara Tappin (-Doussan),3,0,0
Katja Seizinger (-Weber),3,0,2
Viorica Daniela Siliva (-Harper),3,2,1
Udham Singh Kular,3,1,0
Randhir Singh Gentle,3,0,0
"Balbir Singh Dosanjh, Sr.",3,0,0
"Angelo F. Taylor, Jr.",3,1,0
Artur Borisovich Taymazov,3,1,0
Monica Theodorescu,3,0,0
Petria Ann Thomas (-Jones),3,4,1
"Maria Aaltje ""Marianne"" Timmer",3,0,0
Alberto Tomba,3,2,0
James Bruce Tomkins,3,0,1
"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",3,1,1
Regla Radameris Torres Herrera,3,0,0
Vladislav Aleksandrovich Tretyak,3,1,0
"Andrew ""Andy"" Triggs Hodge",3,0,0
Vyacheslav Vladimirovich Yekimov,3,0,0
Saori Yoshida,3,1,0
Yun Mi-Jin,3,0,0
Aleksandra Ivanovna Zabelina,3,0,0
Jan elezn,3,1,0
Zhang Jike,3,1,0
