Name,Gold_Medals,Silver_Medals,Bronze_Medals
Sergey Valeryevich Volkov,0,0,0
Vladimir Vasilyevich Volkov,0,0,0
Yevhen Volkov,0,0,0
Anna Filippovna Volkova (-Sprung),0,0,0
"Ekaterina ""Katja"" Volkova",0,0,0
Lyubov Ivanovna Volkova,0,0,0
Olha Volodymyrivna Volkova,0,0,0
Yekaterina Gennadyevna Volkova (-Mastrova),0,0,1
Yelena Yuryevna Volkova,0,0,0
Kjell Sverre Voll,0,0,0
Pierre Volla,0,0,0
milie Volle,0,0,0
Frdric Jean-Pierre Philippe Volle,0,0,1
Jan Erik Vollebregt,0,0,0
Sjoerd Steven Vollebregt,0,0,0
Rodolfo Albino Vollenweider Brupbacher,0,0,0
Julie Jo Vollertsen (-Melli),0,1,0
Eugen Vollmar-Gadient,0,0,0
Harald Vollmar,0,2,1
"Herbert Eberhard Jordan ""Herb"" Vollmer",0,0,1
"Timothy William ""Tim"" Vollmer",0,0,0
Helmut Vollprecht,0,0,0
Arthur Vollstedt,0,0,0
Adler Volmar,0,0,0
"Douglas Steven ""Doug"" Volmar",0,0,0
"Ronald Lloyd ""Ron"" Volmer",0,0,0
Marina Ivanovna Volnova,0,0,1
Vladimir Vladimirovich Volodenkov,0,0,1
Yelena Vyacheslavovna Volodina-Antonova,0,0,0
Roman Mykhailovych Volodkov,0,0,0
Oleh Volodymyrov,0,0,0
"Anatole ""Tola"" Vologe",0,0,0
Mariya V'iacheslavivna Voloshchenko,0,0,0
Yevgeniya Voloshenko,0,0,0
Leonid Anatolyevich Voloshin,0,0,0
Anna V'iacheslavivna Voloshyna,0,0,0
Lyubov Mikhaylovna Volosova,0,0,1
Denis Vladimirovich Volotka,0,0,0
Olga Algertovna Volozhinskaya,0,0,0
Guy-Pierre Volpert,0,0,0
Alberto Antonio Volpi,0,0,0
Christian Volpi,0,0,0
Giulia Volpi,0,0,0
Giuseppe Volpi,0,0,0
Marco Antnio Volpi,0,0,0
Roberto Volpi,0,0,0
Gerd Vls,0,0,1
Volterrano Volterrani,0,0,0
Gerasimos Voltyrakis,0,0,0
Gintar Volungeviit-Scheidt,0,1,0
Artyom Aleksandrovich Volvich,0,0,0
Dumitru Volvoreanu,0,0,1
Oleksandr Viktorovych Volynets,0,0,0
Bernard Volz,0,0,0
David Alan Volz,0,0,0
Hermann Volz,0,0,0
Helga Margot Volz-Mees,0,1,1
Stanislav Valentinovich Volzhentsev,0,0,0
Christian vom Lehn,0,0,0
Alfrd von Adda,0,0,0
Karl-Gustav von Alfthan,0,0,0
Beat von Allmen,0,0,0
Peter von Allmen,0,0,0
Henrik von Appen Piedrabuena,0,0,0
Kurt von Arx,0,0,0
Reto von Arx,0,0,0
Le Lszl von Barth,0,0,0
Elemr von Barcza,0,0,0
Rezs von Bartha (-Bartha-Dlnokfalvi),0,0,0
Reinhard von Bauer,0,0,0
Norberto von Baumann,0,0,0
Frank von Behren,0,1,0
Erich Adolf Ernst von Bernstorff-Gyldensteen,0,0,1
Joachim Albrecht von Bethmann-Hollweg,0,0,0
Hubertus von Beyer,0,0,0
Hans-Hasso Otto Klaus von Bismarck,0,0,0
"Alexander Moritz Reinhold ""Fritz"" von Bissing",0,0,0
"Hans Gustaf von Blixen-Finecke, Sr.",0,0,1
Alfried Felix Alwyn von Bohlen und Halbach (-Krupp von Bohlen und Halbach),0,0,1
Lajos von Bohus (-Bonyhai),0,0,0
Georg Tage Eugen von Boisman,0,0,0
Hermann von Bnninghausen,0,0,0
va von Botond,0,0,0
"Carl Eric ""Carl-Eric"" von Braun",0,0,0
Karl Axel Georg Detlow von Braun,0,0,0
Ingo von Bredow,0,0,1
Walter von Bueren,0,0,0
Oskar von Bren,0,0,0
Pilar von Carsten,0,0,0
"Alfred ""Alf"" von Chmielowski",0,0,0
Bla von Darnyi,0,0,0
Alexander von der Groeben,0,0,0
Margaret Lynn von der Heide-Spencer-Galanes,0,0,0
Lucina von der Heyde,0,0,0
Henri-Robert von der Mhll,0,0,0
Hans-Georg von der Ohe,0,0,0
Henri Raoul Marie von der Weid,0,1,0
Gerhard von Dsterlho,0,0,0
Henrik Claes Edvard von Eckermann,0,0,0
Rudolf Pfersmann von Eichthal,0,0,0
Albert von Einsiedel,0,0,0
Willy von Eschen,0,0,0
Hans Olof von Essen,0,0,0
Fritz Wilhelm von Essen,0,0,0
"Erzsbet ""Elisabeth"" von Esse",0,0,0
Colin Rafael Douglas von Ettingshausen,0,1,0
Eduard Theodor von Falz-Fein,0,0,0
Aladr von Farkas,0,0,0
Klaus von Fersen,0,0,0
Andreas von Flotow,0,0,0
Werner Ernesto Maria von Foerster,0,0,0
Richard von Foregger,0,0,0
Hubertus Rudolph von Frstenberg-von Hohenlohe-Langenburg,0,0,0
Bernhard von Gaza,0,0,1
Carl Warner von Gerber,0,0,0
Jocelyn von Giese,0,0,0
Sandra von Giese,0,0,0
Philipp Theodor von Gosen,0,0,0
"Helmuth Arthur Otto Leonard ""Lennie"" von Graevenitz",0,0,0
Anna Barbara von Grebel-Schiendorfer,0,0,0
Amon von Gregurich,0,0,0
Friedrich Ernst August von Grote,0,0,0
Christine von Grnigen,0,0,0
Ernst von Grnigen,0,0,0
Michael von Grnigen,0,0,1
Johann Baptist Theodor von Gudenus,0,0,0
Ernst von Gunten,0,0,0
Jules von Gunten,0,0,0
Patrick von Gunten,0,0,0
Karl Ferdinand von Halt,0,0,0
Anna von Harnier,0,0,0
Herman Carel Felix Clotilde von Heijden,0,0,1
Erika Kennedy Von Heiland (-Strader),0,0,0
"Carl Gustaf Albert ""Gsta"" von Hennigs",0,0,0
Wilhelm Albrecht Carlotto Alexander von Hohenau,0,0,1
Max Emanuel Maria Alexander Vicot Bruno de la Santisima Trinidad y Todos los Santos von Hohenlohe Langenburg,0,0,0
Veli Gunnar Bogislaus von Hohenthal,0,0,0
Erik Johannes Peter Ernst von Holst,0,0,0
Sven von Holst,0,0,0
Gyula von Ivnyi,0,0,0
Antal von Knya (Knia-),0,0,0
N. Georg von Kaufmann,0,0,0
Bla von Kehrling,0,0,0
Aurl von Kelemen,0,0,0
Leo Freiherr von Knig,0,0,0
Sndor von Korompay,0,0,0
Johan Henrik Wilhelm von Koskull,0,0,0
Peter Hans Wilhelm von Koskull,0,0,0
Jan Christopher von Koss,0,0,0
Knut Johan von Koss,0,0,0
Rabod Wilhelm von Krcher,0,1,0
Peter von Krockow,0,0,0
Morten Hans von Krogh,0,0,0
"Helena ""Elli"" von Kropiwnicki",0,0,0
Herbert von Kuhlberg,0,0,0
Bla von Las-Torres,0,1,0
Friedrich von Lffelholz von Colberg,0,0,0
Isabella von Lospichl,0,0,0
Cornelius von Lubowiecki,0,0,0
Sndor von Lumniczer,0,0,0
Eduard von Ltcken,0,1,0
Lszl von Magashzy,0,0,0
Lajos von Malanotti,0,0,0
"Tams ""Tomi"" von Mrffy-Mantuano",0,0,0
Gottfried Franz Oskar Hans Ernst Valentin von Meiss,0,0,0
Erich Werner Siegfried Gtz von Mirbach,0,0,0
Carl von Moers,0,1,0
Werner Konrad Graf von Moltke,0,0,0
Otto von Mller,0,0,0
Walther von Mumm von Schwarzenstein,0,0,0
Harald von Musil,0,0,0
Ida Leopoldine Sophie Elizabeth von Nagel,0,0,1
Elfriede von Nitzsch (Brunemann-),0,0,0
"Friedrich Karl Hans ""Fritz"" von Oesterley",0,0,0
Nndor von Orbn,0,0,0
Gusztv von Pados,0,0,0
Konstantin Franz Nikolaus Karl Heinrich Dagobert Anton von Padua Ildefons Maria von Liechtenstein,0,0,0
Hendrik Edler von Paepcke,0,0,0
Herbert von Petersdorff,0,0,0
Jzsef von Platthy,0,0,1
Arthur von Pongracz de Szent-Mikls und vr,0,0,0
Tassilo Wilhelm Humbert Leopold Friedrich Karl von Preuen,0,0,1
Hilda von Puttkammer,0,0,0
Anja von Rekowski,0,0,0
Herbert von Reyl-Hanisch,0,0,0
Owen Von Richter,0,0,0
Friedrich Leopold Harry von Rochow,0,2,0
Karol Alfonsovich von Rmmel,0,0,1
Sren von Rnne,0,0,0
Maud Florence Ella von Rosen,0,0,1
Otto Karl Robert von Rosen,0,0,0
Pontus Robert Conrad von Rosen,0,0,0
"Clarence von Rosen, Jr.",0,0,2
Maud Ella Clara Lillian von Rosen-Engberg,0,0,0
"Thomas Frederick ""Tom"" Von Ruden",0,0,0
Charlene G. von Saher,0,0,0
Ludwig Albrecht Constantin Maria von Salm-Hoogstraeten,0,0,0
Katrina von Sass,0,0,0
Richard Ferdinand Maximilian Ignatius Joseph Valentin Hubertus Maria von Schaesberg-Thannheim,0,1,0
Rolf Thomas von Scheele,0,0,0
Gnther von Scheven,0,0,0
Olaf Baron von Schilling,0,0,0
Alexa von Schwichow,0,0,0
Dagobert von Sekullic-Vrich,0,0,0
Antje Von Seydlitz-Kurzbach,0,0,0
Hermann von Siebenthal,0,0,0
"Stefanie ""Steffi"" von Siebenthal",0,0,0
Walter H. von Siebenthal,0,0,0
Erwin Fritz Karl August von Sigel,0,0,0
Zeno von Singalewicz,0,0,0
Lajos von Sipeki-von Bals,0,0,0
Louis von Sonnenberg,0,0,0
Lars Axel von Stockenstrm,0,0,0
Franz von Stuck,0,0,0
Friedrich Gottlob Paul Ferdinand von Stlpnagel,0,0,1
Johann von Szabados,0,0,0
Christopher Georges Johan von Tangen,0,0,0
Gza von Teleki,0,0,0
Heinrich von Tenner,0,0,0
Hermann von Valta,0,0,0
Johan Bertil Karl von Wachenfeldt,0,0,0
Urs von Wartburg,0,0,0
William von Wirn,0,0,1
Franz Adolf Eduard Benjamin von Zedlitz und Leipe,0,0,1
Dezs von Zirthy,0,0,0
Jen von Zsigmondy,0,0,0
Andr Vonarburg,0,0,0
Vanja Vonckx,0,0,0
Vladimr Vondrek,0,0,0
Hugo Vondejc,0,0,0
Josef Vondrka,0,0,0
Martina Vondrov,0,0,0
Brd Vonen,0,0,0
Vong Lu Veng,0,0,0
Aikaterini Vongoli,0,0,0
Bounthanom Vongphachanh,0,0,0
Vilayphone Vongphachanh,0,0,0
Sisomphone Vongpharkdy,0,0,0
Jane Vongvorachoti,0,0,0
Fritz Vonhof,0,0,0
Britt Agatha Vonk,0,0,0
"Robertus Hendrikus ""Rob"" Vonk",0,0,0
Hugo Vonlanthen,0,0,0
Otto Vonlaufen,0,0,0
Thomas Vonn,0,0,0
Ulvi Voog (-Indrikson),0,0,0
"Aartje Johanna ""Atie"" Voorbij (-Dorresteijn)",0,0,0
Jorien Johanna Maria Voorhuis,0,0,0
Albert Bernard Voorn,0,1,0
Vincent Krijn Henk Voorn,0,0,0
"Adrianus ""Adrie"" Voorting",0,0,0
"Gerardus Petrus ""Gerrit"" Voorting",0,1,0
Jan Vopat,0,0,0
Jakub Vorek,0,0,0
Ivana Vorakov,0,0,0
Vanchak Voradilok,0,0,0
Iveta Voralov,0,0,0
Chonlathorn Vorathamrong,0,0,0
"Peter ""Pete"" Vordenberg",0,0,0
Aleksandr Mikhaylovich Vorobey,0,0,0
Oleksandr Serhiyovych Vorobiov,0,0,1
Aleksandr Nikolayevich Vorobyov,0,0,0
Boris Vorobyov,0,0,0
Denis Vorobyov,0,0,0
Konstantin Vorobyov,0,0,0
Vasily Aleksandrovich Vorobyov,0,0,0
Irina Nikolayevna Vorobyova,0,0,0
Nataliya Vorobyova,0,0,0
Yuliya Valeryevna Vorobyova,0,0,0
Tatyana Leonidovna Vorokhobko (-Kondrashova),0,0,0
Mariya Nikolayevna Vorona,0,0,0
Yelena Konstantinovna Vorona,0,0,0
Igor Nikolayevich Voronchikhin,0,0,2
Gennady Andreyevich Voronin,0,0,0
Vyacheslav Nikolayevich Voronin,0,0,0
Olena Oleksandrivna Voronina,0,1,0
Viktoriya Aleksandrovna Voronina,0,0,0
Yekaterina Voronina,0,0,0
Yury Vladimirovich Voronkin,0,0,0
Roman Voronko,0,0,0
Andrey Nikolayevich Voronkov,0,0,0
Nikolay Voronkov,0,0,0
Irina Andreyevna Voronkova,0,0,0
Nelli Aleksandrovna Voronkova (-Dauksha),0,0,0
Artyom Voronov,0,0,0
Yevgeny Sergeyevich Voronov,0,0,1
Anela Voronova,0,0,0
Nataliya Voronova,0,0,0
Andrey Konstantinovich Vorontsevich,0,0,0
Valentina Grigoryevna Vorontsova,0,0,0
Ferenc Vrs,0,0,0
Jens Vorsatz,0,0,0
"Andries Stephanus ""Dries"" Vorster",0,0,0
Elinda Vorster (-Rademeyer),0,0,0
Michelle Vorster (Mills-),0,0,0
Albert Vos,0,0,0
Auguste Vos,0,0,0
Christina Vo (Lange-),0,1,0
Daniel Vo,0,0,0
Ingmar Vos,0,0,0
Jan Vos,0,0,1
Maaike Ellen Vos,0,0,0
Wolfgard Vo,0,0,0
Karel Vostka,0,0,0
"Ary Carel Hugo ""Arie"" Vosbergen",0,0,0
"William Robert Vosburgh, Jr.",0,0,0
Christopher Vose,0,1,0
Olga Borisovna Voshchakina,0,0,0
"Bertus ""Bart"" Voskamp",0,0,0
Vardan Voskanyan,0,0,0
Elles Voskes,0,1,0
Galina Olegovna Voskoboyeva,0,0,0
Kent Douglas Vosler,0,0,0
Liesbeth Simone Vosmaer-de Bruin,0,0,0
Josef Vosolsob,0,0,0
Martin Peter Voss,0,0,0
Martina Voss (-Tecklenburg),0,0,0
Torsten Voss,0,1,0
Stphane Vossart,0,0,0
Hans-Gnther Vosseler,0,1,0
Regina Vossen,0,0,0
Ioannis Vossos,0,0,0
Mikhail Vostroknutov,0,0,0
Maarika Vsu,0,0,0
Otakar Votk,0,0,0
Jaroslav Votruba,0,0,0
Pedro Severio Votta Alaggia,0,0,0
Odile Vouaux (-Milley),0,0,0
Toivo Ilmari Voudelin (Voutelin),0,0,0
"Mikhalis Panagiotis ""Michael"" Voudouris",0,0,0
Vasiliki Vougiouka,0,0,0
Vasileios Vougoukos,0,0,0
Panagiotis Voukelatos,0,0,0
"Matthaios ""Manthos"" Voulgarakis",0,0,0
Evangelos Voultsos,0,0,0
Ioannis Vourakis,0,0,0
Kristel Vourna,0,0,0
Athanasios Vouros,0,0,1
Konstantinos Voutieridis,0,0,0
Marjo Hannele Voutilainen,0,0,1
Alexandros Vouxinos,0,0,0
Juris Vovoks,0,0,0
Franz Voves,0,0,0
Aleksey Nikolayevich Voyevodin,0,0,1
Yuliya Sergeyevna Voyevodina (Odsilayeva-),0,0,0
Pavel Ivanovich Voyloshnikov,0,1,0
Sergey Sergeyevich Voynov,0,0,0
Vyacheslav Leonidovich Voynov,0,0,0
Anastasiya Sergeyevna Voynova,0,1,0
Sergey Voytsekhovich,0,0,0
Martin Vozbal,0,0,0
Anna Valeryevna Vozakova,0,0,0
Ferenc Vozar,0,0,1
Tjaa Vozel,0,0,0
Anastasiya Romanivna Vozniak,0,0,0
Antnio Maria Cabral Vozone,0,0,0
Axel Flemming Vgg,0,0,0
Eva Vrabcov-Nvltov,0,0,0
Thomas Vrabec,0,0,0
Martin Vrbe,0,0,0
Igor Vrablic,0,0,0
Martin Vrblk,0,0,0
Dragutin Vragovi,0,0,0
Marija Vraji,0,0,0
Rudolf Vrna,0,0,0
Anne Marie Vrana-O'Brien,0,0,0
Slavia Vrane,0,0,0
Ljubomir Vranjes,0,1,0
Tihomil Vranje,0,0,0
Josip Vrankovi,0,0,0
"Stojan ""Stojko"" Vrankovi",0,2,0
Alexandros Vrasivanopoulos,0,1,0
Miroslav Vratil,0,0,0
Milo Vrati,0,0,0
Ivan Vrba,0,0,0
Jan Vrba,0,0,0
Stjepan Vrbani,0,0,0
Biserka Vrbek,0,0,0
Lucie Vrbensk,0,0,0
Renato Vrbii,0,1,0
Vlasta Vrbkov,0,0,0
Ante Vri,0,0,0
Ji Vrdlovec,0,0,0
Zdeslav Vrdoljak,0,1,0
Jan Johannes Anthony Arnoldus Vreede,0,0,1
Cornelis Vreedenburgh,0,0,0
Ioannis Vrettos,0,0,0
Khristos Vrettos,0,0,0
Darrell Lynn Vreugdenhil,0,0,0
Bla Vrhovnik,0,0,0
Matja Vrhovnik,0,0,0
Danijel Vrhovek,0,0,0
"Jan Johannes ""Jur"" Vrieling",0,1,0
"Cornelis Wilhelmus Pieter ""Cor"" Vriend",0,0,0
"Henri Gerard ""Harry"" Vriend",0,0,0
"Willem Jan Frederik ""Wim"" Vriend",0,0,0
"Hermanus Siert Adolf ""Hemmie"" Vriens",0,0,0
Sherwin Marchel Vries,0,0,0
"Gerardus ""Gerard"" de Vries Lentsch",0,1,0
Letitia Alma Vriesde,0,0,0
"Hubertina Petronella Maria ""Bettine"" Vriesekoop",0,0,0
Danille Esmeralda Vriezema,0,0,0
James Vrij,0,0,0
Josip Vrli,0,0,0
Simon Frans Vroemen,0,0,0
"Johannes ""Jan"" Vrolijk",0,0,0
Roshendra Julienne Mercedes Vrolijk,0,0,0
Marija Vrsaljko,0,0,0
Frantiek Vrovsk,0,0,0
Joe Vrtai,0,0,0
Mark Robert Vryenhoek,0,0,0
Maria Louiza Vryoni,0,0,0
Grigorios Vryonis,0,0,0
Panagiotis Vryonis,0,0,0
"Alena ""ja"" Vrzov (-Zanov, -Steindler)",0,0,0
Dragutin Vruka,0,0,0
Damjan Vti,0,0,0
Maja Vti,0,0,0
Aleksandr Vtorov,0,0,0
V Bch Hng,0,0,0
V Thnh An,0,0,0
V Th Hng,0,0,0
V Th Trang,0,0,0
V Vn Danh,0,0,0
Emilia Alina Vuc,0,0,0
Miroslav Vueti,0,0,0
Vera Vucheva,0,0,0
Vedrana Vuievi,0,0,0
Damir Vuii,0,0,0
Nenad Vucinic,0,0,0
Rao Vucini,0,0,0
Nenad Vukovi,0,0,0
Stephan Vuckovic,0,1,0
Andrea Vuerich,0,0,0
Gaia Vuerich,0,0,0
Josefa Vueti,0,0,0
Renato Vugrinec,0,0,0
Joseph Vuillard,0,0,0
Alexis Vuillermoz,0,0,0
Rene Laurent Vuillermoz,0,0,0
Grard Albert Vuilleumier,0,0,0
"Jean-Claude Vuithier, Jr.",0,0,0
"Jean-Claude Vuithier, Sr.",0,0,0
Duan Vujai,0,0,0
Mirko Vujai,0,0,0
Borislav Vujadinovi,0,0,0
Milo Vujani,0,0,0
Saa Vujani,0,0,0
"Vladimir ""Vlada"" Vujasinovi",0,1,2
Branimir Vujevi,0,0,1
"Vojislav ""Vojo"" Vujevi",0,0,0
Marko Vujin,0,0,0
"Zvonimir ""Zvonko"" Vujin",0,0,2
"Dragomir ""Dragan"" Vujkovi",0,0,0
Svetozar Vujovi,0,0,0
Zlatko Vujovi,0,0,0
Zoran Vujovi,0,0,0
Rudolf Vuk,0,0,0
Nenad Vukani,0,0,1
Bernard Vukas,0,2,0
Nikola Vukevi,0,0,0
Simon Vukevi,0,0,0
Marina Vukevi-Raji,0,1,0
Ljubo Vuki,0,0,0
Branko Vukievi,0,0,1
Ljubica Christina Vukicevic (-Demidov),0,0,0
Marko Vukievi,0,0,0
Petar Vukievi,0,0,0
Paola Vukojicic,0,1,2
Sinia Vukoni,0,0,0
Borivoj Vukov,0,0,0
Miljan Vukovi,0,0,0
elimir Vukovi,0,0,0
Boko Vuksanovi,0,1,0
Dubravka Vukui,0,0,0
Melvina Vulah,0,0,0
Roxana Vulescu,0,0,0
Vukan Vuleti,0,0,0
Fabio Vullo,0,0,1
Florica Vulpe,0,0,0
Robert Vunderink,0,0,0
Anni Teija Orvokki Vuohijoki,0,0,0
Tuija Mirjam Inkeri Vuoksiala (Oksanen-),0,0,0
Yrj Viljam Vuolio,0,0,0
Vng Th Huyn,0,0,0
Tapani Aimo Vuorenhela,0,0,0
Hannu Sakari Vuorinen,0,0,0
Jaakko Aatos Vuorinen,0,0,0
Olavi Paavo Vuorisalo,0,0,0
Tieleman Cornelis Vuurman,0,0,0
Uilke Vuurman,0,0,0
Arkady Arkadyevich Vyachanin,0,0,2
Nataliya Aleksandrovna Vyatkina,0,0,0
Dmitry Borisovich Vybornov,0,0,0
Yeva Vybornova,0,0,0
David Vborn,0,0,1
Richard Vborn,0,0,0
Ji Vyichlo,0,0,0
Ren Vydaren,0,0,0
Otakar Vydra,0,0,0
Bedich Vygoda,0,0,0
Irina Vyguzova,0,0,0
Ivan Andreevich Vykhristyuk,0,0,0
Ji Vykoukal,0,0,0
Jaroslav Vykoupil,0,0,0
Maksim Mikhaylovich Vylegzhanin,0,3,0
Alyona Viktorovna Vylegzhanina,0,0,0
Miroslav Vymazal,0,0,0
Lenka Vymazalov,0,1,0
Franois Armand Vyncke,0,0,0
Yevhen Valeriyovych Vynohradov,0,0,0
Andriy Vynokurov,0,0,0
Loukas Vyntra,0,0,0
Liudmyla Oleksandrivna Vypyrailo,0,0,0
Valery Aleksandrovich Vyrvich,0,0,0
Vladimir Vladimirovich Vyshpolsky,0,0,0
Martin Vysko,0,0,0
Ramnas Vyniauskas,0,0,0
Svetlana Yuryevna Vysokova,0,0,1
Yevheniya Petrivna Vysotska,0,0,0
Ivan Ivanovych Vysotskiy,0,0,0
Charles Vyt,0,0,0
"Christopher ""Chris"" Vythoulkas",0,0,0
Galina Nikolayevna Vyuzhanina,0,0,1
Modesta Vesniauskait,0,0,0
Isaac Atish Wa-El,0,0,0
"Johanna Maria Elisabeth ""Jopie"" Waalberg (-de Mayer)",0,0,0
Jennie Marie  Waara (-Ranquet-),0,0,0
Beat Wabel,0,0,0
Kaoru Wabiko,0,0,0
Karl Wach,0,0,0
Ryszard Wach,0,0,0
Alois Wacha,0,0,0
Przemysaw Marian Wacha,0,0,0
Simon Wachira,0,0,0
Wodzimierz Zbigniew Wachowicz,0,0,0
Otto Heinrich Gerhard Adolf Wachs,0,0,1
Gillian Margaret Wachsman,0,0,0
Christine Wachtel (-Guth),0,1,0
Herbert Wachter,0,0,0
Katja Wchter,0,0,0
Fritz Wchtler,0,0,0
Carl Johan Wachtmeister,0,0,0
"Erik Melcher Schering ""Ted"" Wachtmeister",0,0,0
Anton Wackerle,0,0,0
Josef Wackerle,0,0,0
"Sylvester Wackerle, Jr.",0,0,0
"Sylvester Wackerle, Sr.",0,0,0
Heinz Wackers,0,0,0
Ole Rafael Wackstrm,0,0,0
Patrick Rafael Wackstrm,0,0,0
Sixten Konstantin Wackstrm,0,0,0
Akihito Wada,0,0,0
Eiko Wada,0,0,0
Kazuhiro Wada,0,0,1
Kikuo Wada,0,1,0
Koichi Wada,0,0,0
Shoko Wada,0,0,0
Takahiro Wada,0,0,0
Tsuyoshi Wada,0,0,1
Satomi Wadami,0,0,0
Jan Wadas,0,0,0
Angus James Waddell,0,0,0
Sonia Carol Waddell (Scown-),0,0,0
"Thomas ""Tom"" Waddell (Flubacher-)",0,0,0
Yvan Waddell,0,0,0
Roland Peter Waddington,0,0,0
El Hadji Babacar Wade,0,0,0
Barclay John Wade,0,0,0
Emma Wade,0,0,0
Peter Gary Wade,0,0,0
Harry Arthur Wade,0,0,0
Ibrahima Wade,0,0,0
"Festus John Wade, III",0,0,0
Kirsty Margaret Wade (McDermott-),0,0,0
Lamine Wade,0,0,0
"Leslie Paul ""Les"" Wade",0,0,0
Mor Wade,0,0,0
Paul Wade,0,0,0
Sean Patrick Wade,0,0,0
Toms Ricardo Wade y Kehoe,0,0,0
Jenaya Wade-Fray,0,0,0
Clynton Wade Wade-Lehman,0,0,0
Piotr Wadecki,0,0,0
Olive Louise Wadham (Joynes-),0,0,0
Tim Wadlow,0,0,0
Torsten Gerry Wadman,0,0,0
Khalil Wadoou,0,0,0
Jean Wadoux,0,0,0
Justin Wadsworth,0,0,0
William Ridout Wadsworth,0,1,0
"Brenda Wadworth (-Lea, -Baily)",0,0,0
Jessie Ellen Wadworth (Brown-),0,0,0
Philipp Waeffler,0,0,0
Marlies Waelzer (-Kamleitner),0,0,0
Laura Waem,0,0,0
Dan John Rune Waern,0,0,0
Jean-Pierre Thierry mile Wafflard,0,0,0
Mary Wagaki,0,0,0
Roy Charles Wagelein,0,0,0
Werner Wgelin,0,0,0
Georges Wagemans,0,0,0
Julianus Wagemans,0,1,0
Jan Wagenaar,0,0,0
Hans Wagener,0,0,0
Detlef Wagenknecht,0,0,0
Carlos E. Wagenpfeil,0,0,0
Elfriede Wger,0,0,0
Roman Wger,0,0,0
Lynette Ann Wagg (-Done),0,0,0
Todd Eric Waggoner,0,0,0
Frances Muriel T. Waghorn (-Robinson),0,0,0
Karim Wagih Mustafa Mahir Ahmad,0,0,0
Christian Wgli,0,0,0
Abdoulaye Wagne,0,0,0
Adolf Wagner von der Mhl,0,0,0
Adolf Wagner,0,0,1
Allison Marie Wagner,0,1,0
Alwin Josef Wagner,0,0,0
Ashley Elisabeth Wagner,0,0,1
Benedikt Wagner,0,0,0
"Auguste ""Bib"" Wagner",0,0,0
Birgit Wagner (-Peter),0,0,0
Brigitte Wagner,0,0,0
Camille Wagner,0,0,0
Constant Wagner,0,0,0
Eckart Johannes Wagner,0,0,0
Fidel Wagner,0,0,0
Franois Wagner,0,0,0
Guillermo Wagner,0,0,0
Hans Wagner,0,0,0
Helga Wagner,0,0,0
Helmut Wagner,0,0,0
Hubert Aleksander Jerzy Wagner,0,0,0
Jean Wagner,0,0,0
Josef Wagner,0,0,0
Jzsef Wgner,0,0,0
Karl Wagner,0,0,0
Klaus Wagner,0,2,0
Kristin Wagner,0,0,0
Ludvk Wgner,0,0,0
Marion Wagner (-Kuruc),0,0,0
Marion Wagner (-Baumgrtner),0,0,0
Monika Wagner,0,0,0
Norbert Wagner,0,0,0
Pl Wgner,0,0,0
"Randolph ""Randy"" Wagner",0,0,0
Reinhard Wagner,0,0,0
"Raymond ""Remy"" Wagner",0,0,0
Ren Wagner,0,0,0
Rochus Wagner,0,0,0
Rodney Wagner,0,0,0
"Rudolph ""Rodolfo"" Wagner",0,0,0
Roma Wagner,0,0,0
Rmulo Wagner da Silva,0,0,0
Stanisaw Wagner,0,0,0
Stepan Wagner,0,0,0
"Steven ""Steve"" Wagner",0,0,0
Isabella Minna Veronica  Wagner,0,0,0
Wendy Kay Wagner,0,0,0
"Wilhelm ""Willi"" Wagner",0,0,0
Wolfgang Wagner,0,0,0
Ernst Adolf Albert Ferdinand Wagner-Hohenlobbese,0,0,0
Sandra Wagner-Sachse,0,1,1
Fritz Wagnerberger,0,0,0
"Donald Douglas ""Don"" Wagstaff",0,0,0
Ernest Wagstaff,0,0,0
Abdelkader Wahabi,0,0,0
Ahmed Bushara Wahba,0,0,0
Kenza Wahbi,0,0,0
Sunayna Wahi,0,0,0
Sardar Abdul Wahib,0,0,0
Abdel Moneim Wahibi Hassanein,0,0,0
Anne Wahl,0,0,0
Harry August Wahl,0,1,0
Henry Wahl,0,0,0
Kurt Wahl,0,0,0
Otto Wahl,0,0,0
Paul Wahl,0,0,0
Rakel Kristine Wahl (-Vahl),0,0,0
Richard Wahl,0,0,1
Torgny Georg Erik Otto Whlander,0,0,0
Hans Yngve Wahlander,0,0,0
"Christina Agathe Wahlberg (-Baidinger, -Billby)",0,0,0
Karl Edvard Wahlberg,0,1,0
Anna-Stina Wahlberg-Baidinger,0,0,0
Otto Wahle,0,2,1
Georges Wahler,0,0,0
Hans Wahli,0,0,0
Nils Rudolf Whlin,0,0,0
Marko Jaakko Tapani Wahlman,0,0,0
Karl Wahlmller,0,1,0
Lars Lennart Wahlqvist,0,0,0
Armas Ilmari Wahlstedt (-Valste),0,0,0
Axel Johan Gabriel Wahlstedt,0,0,0
Juhani Jorma Kalervo Wahlsten,0,0,0
Kauko Wilhelm Wahlsten,0,0,1
Richard Wayne Wahlstrom,0,0,1
Christoph Wahrsttter,0,0,0
John Wai,0,0,0
August Waibel,0,0,0
"Wolfram Waibel, Jr.",0,1,1
"Wolfram Waibel, Sr.",0,0,0
Nina Waidacher,0,0,1
John Waight,0,0,0
John Boscoe Waigo,0,0,0
Wilson Waigwa,0,0,0
